name,author,year,genre,key_words,to_watch,watched
Duże dzieci,Dennis Dugan,2010,komedia;familijny;obyczajowy,Adam Sandler;Kevin James;Chris Rock;David Spade;Rob Schneider;Salma Hayek;Maria Bello;Maya Rudolph;Colin Quinn;Tim Meadows;Joyce Van Patten;przyjaźń;wakacje;rodzina;humor,0,0
Mroczne niebo,Scott Stewart,2013,horror;science fiction;thriller;film o UFO,Keri Russell;Josh Hamilton;J.K. Simmons;Dakota Goyo;Kadan Rockett;L.J. Benet;Rich Hutchman;Myndy Crist;Annie Thurman;Jake Brennan;obcy;porwania;paranormalne;rodzina;strach,0,0
Paranoia,Robert Luketic,2013,thriller;film szpiegowski;dramat,Liam Hemsworth;Gary Oldman;Amber Heard;Harrison Ford;Lucas Till;Embeth Davidtz;Julian McMahon;Josh Holloway;Richard Dreyfuss;Angela Sarafyan;korporacje;szpiegostwo;technologia;intryga,0,0
Niewidzialna forteca,Cédric Jimenez,2021,akcja;dramat;film międzynarodowy;thriller,Gilles Lellouche;Karim Leklou;François Civil;Adèle Exarchopoulos;Kenza Fortas;Cyril Lecomte;Michaël Abiteboul;Idir Azougli;Vincent Darmuzey;Jean-Yves Berteloot;policja;Marsylia;gangi;przemoc;przyjaźń,0,0
Narodziny smoka,George Nolfi,2017,akcja;dramat;film biograficzny;sztuki walki,Billy Magnussen;Ron Yuan;Qu Jingjing;Terry Chen;Vanness Wu;Jin Xing;Philip Ng;Xia Yu;Yu Xia;Bruce Lee;kung-fu;Chiny;pojedynek;trening;biografia,0,0
Szczęki,Steven Spielberg,1975,akcja;przygodowy;klasyka kina;dramat;thriller,Roy Scheider;Robert Shaw;Richard Dreyfuss;Lorraine Gary;Murray Hamilton;Carl Gottlieb;Jeffrey Kramer;Susan Backlinie;Jonathan Filley;Ted Grossman;rekin;plaża;ataki zwierząt;strach;śledztwo;małe miasteczko,0,0
Szczęki 2,Jeannot Szwarc,1978,dramat;horror;thriller;akcja;klasyka kina,Roy Scheider;Lorraine Gary;Murray Hamilton;Joseph Mascolo;Jeffrey Kramer;Collin Wilcox Paxton;Ann Dusenberry;Mark Gruner;Barry Coe;Susan French;rekin;morze;strach;plaża;ratunek,0,0
Szczęki 3,Joe Alves,1983,akcja;przygodowy;horror;thriller,Dennis Quaid;Bess Armstrong;Simon MacCorkindale;Louis Gossett Jr.;John Putch;Lea Thompson;P.H. Moriarty;Dan Blasko;Liz Morris;Lisa Maurer;park wodny;rekin;zoo morskie;przygoda;zagrożenie,0,0
Szczęki: Zemsta,Joseph Sargent,1987,akcja;horror;thriller,Lorraine Gary;Lance Guest;Mario Van Peebles;Karen Young;Michael Caine;Judith Barsi;Mitchell Anderson;Lynn Whitfield;rekin;rodzina;Bahamy;zemsta;morze,0,0
Moi bohaterowie byli kowbojami,Tyler Greco,2021,film dokumentalny;biograficzny;kultura amerykańska;kowboje,rodeos;kultura westernu;życie na ranczu;konie;USA;pasja;marzenia,0,0
Kryjówka,Daniel Espinosa,2012,akcja;thriller;film szpiegowski,Denzel Washington;Ryan Reynolds;Vera Farmiga;Brendan Gleeson;Sam Shepard;Rubén Blades;Nora Arnezeder;Robert Patrick;Liam Cunningham;Joel Kinnaman;agent CIA;spisek;pościg;RPA,0,0
Dzień próby,Antoine Fuqua,2001,dramat;thriller;akcja;film policyjny,Denzel Washington;Ethan Hawke;Scott Glenn;Tom Berenger;Harris Yulin;Raymond J. Barry;Cliff Curtis;Dr. Dre;Snoop Dogg;Macy Gray;Eva Mendes;policja;korupcja;Los Angeles;próba lojalności,0,0
InuYasha: Zamek za Lustrem,Toshiya Shinohara,2002,akcja;przygodowy;anime;fantasy;film międzynarodowy,Kappei Yamaguchi;Satsuki Yukino;Mieko Harada;Koji Tsujitani;Houko Kuwashima;Kumiko Watanabe;Noriko Hidaka;Kenichi Ogata;Toshiyuki Morikawa;Izumi Ogami;feudalna Japonia;demon;magia;miłość,0,0
InuYasha: Miecze Honoru,Toshiya Shinohara,2003,akcja;przygodowy;anime;fantasy;film międzynarodowy,Kappei Yamaguchi;Satsuki Yukino;Koji Tsujitani;Houko Kuwashima;Kumiko Watanabe;Ken Narita;Akio Otsuka;Kikuko Inoue;walka;rodzina;legendarne bronie;Japonia,0,0
InuYasha: Ogień na Mistycznej Wyspie,Toshiya Shinohara,2004,akcja;przygodowy;anime;fantasy;film międzynarodowy,Kappei Yamaguchi;Satsuki Yukino;Koji Tsujitani;Houko Kuwashima;Kumiko Watanabe;Noriko Hidaka;Ken Narita;Cho;Mamiko Noto;Nobutoshi Canna;demon;wyspa;magia;przeznaczenie,0,0
InuYasha: Uczucia przekraczające czas,Toshiya Shinohara,2001,akcja;przygodowy;anime;fantasy;film międzynarodowy,Kappei Yamaguchi;Satsuki Yukino;Koji Tsujitani;Houko Kuwashima;Kumiko Watanabe;Kenichi Ogata;Noriko Hidaka;Hisako Kyoda;Ken Narita;Tomokazu Seki;przekleństwo;walka;miłość,0,0
Naruto Shippuden: Więzienie krwi,Masahiko Murata,2011,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Chie Nakamura;Rikiya Koyama;Kazuhiko Inoue;Masaki Terasoma;Mie Sonozaki;Yuichi Nakamura;Kengo Kawanishi;Kosei Hirota;Masako Katsuki;więzienie;spisek;shinobi,0,0
Naruto Shippuden: Więzi,Hajime Kamegaki,2008,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Chie Nakamura;Noriaki Sugiyama;Unsho Ishizuka;Motoko Kumai;Kazuhiko Inoue;Rikiya Koyama;Showtaro Morikubo;Nana Mizuki;Satoshi Hino;atak powietrzny;przyjaźń;wojna,0,0
Naruto Shippuden: Wola ognia,Masahiko Murata,2009,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Chie Nakamura;Kazuhiko Inoue;Satoshi Hino;Showtaro Morikubo;Kentaro Ito;Ryoka Yuzuki;Kohsuke Toriumi;Nana Mizuki;Shinji Kawada;Yoichi Masukawa;spisek;wojna ninja;przyjaźń,0,0
Naruto Shippuden: Film,Hajime Kamegaki,2007,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Chie Nakamura;Yoichi Masukawa;Koichi Tochika;Ayumi Fujimura;Keisuke Oda;Daisuke Kishio;Fumiko Orikasa;Hidetoshi Nakamura;przepowiednia;misja;ochrona kapłanki,0,0
Naruto Shippuden: Zaginiona wieża,Masahiko Murata,2010,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Chie Nakamura;Satoshi Hino;Rikiya Koyama;Nobuaki Fukuda;Kenji Hamada;Keiko Nemoto;Saori Hayami;Yumi Toma;Yuko Kobayashi;podróż w czasie;wieża;misja,0,0
Naruto: Legenda o kamieniu Gelel,Hirotsugu Kawasaki,2005,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Gamon Kaai;Chie Nakamura;Showtaro Morikubo;Akira Ishida;Yasuyuki Kase;Urara Takano;Sachiko Kojima;kamień;walka;magia,0,0
Naruto: Strażnicy Królestwa Księżyca,Toshiyuki Tsuru,2006,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Chie Nakamura;Yoichi Masukawa;Kazuhiko Inoue;Akio Otsuka;Królestwo Księżyca;przygoda;misja,0,0
Naruto: Starcie ninja w Krainie Śniegu,Tensai Okamura,2004,akcja;przygodowy;anime;film międzynarodowy,Junko Takeuchi;Noriaki Sugiyama;Chie Nakamura;Kazuhiko Inoue;Yuhko Kaida;Kraina Śniegu;walka;film w filmie,0,0
Opowieści nocne,David Yarovesky,2021,film dla dzieci;familijny;fantasy;przygodowy,Winslow Fegley;Lidya Jewett;Krysten Ritter;czarownica;książki;magia;przygoda,0,0
Schumacher,Hanns-Bruno Kammertöns;Vanessa Nöcker;Michael Wech,2021,film dokumentalny;biograficzny;film sportowy,Michael Schumacher;Formuła 1;Niemcy;kariera sportowa;wyścigi,0,0
Kosmiczna przygoda StoryBots,David A. Vargas,2021,film animowany;dla dzieci;familijny;kosmiczny,Evan Spiridellis;Erin Fitzgerald;Jeff Gill;Fred Tatasciore;Evan Michael Lee;Jared Isaacman;Sian Proctor;Chris Sembroski;Hayley Arceneaux;kosmos;planety;statki kosmiczne,0,0
Król chłopców,Kemi Adetiba,2018,dramat;film międzynarodowy;polityczny;gangsterski,Sola Sobowale;Adesua Etomi;Remilekun Safaru;iLLbliss;Toni Tones;Paul Sambo;Jide Kosoko;Sharon Ooja;Nigeria;władza;polityka;gangi,0,0
Ty kontra dzicz: Lodowa pułapka,Ben Simms,2021,film dla dzieci;familijny;przygodowy;interaktywny,Bear Grylls;Jason Derek Prempeh;przetrwanie;śnieg;góry;interaktywny wybór,0,0
Mały Singham: Cień czerni,Prakash Satam,2021,film dla dzieci;familijny;komedia;animacja,Sumriddhi Shukla;Jigna Bharadwaj;Sonal Kaushal;Neshma Chemburkar;Ganesh Divekar;Annamaya Verma;Manoj Pandey;Indie;bohater;akcja;przygoda,0,0
Tughlaq Durbar,Delhiprasad Deenadayalan,2020,komedia;dramat;film międzynarodowy,Vijay Sethupathi;Parthiban;Raashi Khanna;polityka;korupcja;Indie,0,0
Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,2021,komedia;dramat;film międzynarodowy,Vijay Sethupathi;Parthiban;Raashi Khanna;polityka;korupcja;Indie,0,0
Srebrny smok,Tomer Eshed,2021,film dla dzieci;familijny;animacja;przygodowy,Thomas Brodie-Sangster;Felicity Jones;Freddie Highmore;Patrick Stewart;Meera Syal;Sanjeev Bhaskar;Nonso Anozie;smok;magia;przygoda;fantasy,0,0
Kate,Cedric Nicolas-Troyan,2021,Akcja i przygoda;Thriller;Kryminał;Film sensacyjny,Mary Elizabeth Winstead;Jun Kunimura;Woody Harrelson;Tadanobu Asano;Miyavi;Michiel Huisman;Miku Martineau;Tokio;Japonia;zamach;zabójczyni;odwet;spisek;toksyczne zatrucie;kontratak;pościg;strzelaniny;walka wręcz;nocne miasto;neonowe światła;motyw zemsty;przestępczy półświatek;snajper;pościg samochodowy;intryga;sojusz nie do końca zaufany;film neo-noir;toksyczna trucizna;czas ucieka;adrenalina;silna kobieta;gangi yakuzy,0,0
Omo Ghetto: The Saga,JJC Skillz;Funke Akindele,2020,Akcja i przygoda;Komedia;Dramat,Funke Akindele;Ayo Makun;Chioma Chukwuka Akpotha;Yemi Eberechi Alade;Blossom Chukwujekwu;Deyemi Okanlawon;Alexx Ekubo;Zubby Michael;Tina Mba;Femi Jacobs;Nigeria;gangi uliczne;rodzeństwo;siostry;konflikt rodzinny;humor;pojedynek gangów;akcja uliczna;przyjaźń;walka o przetrwanie;przestępczy świat;lider gangu;kobieta w świecie przestępczym;zdrada;lojalność;odkupienie;miasto Lagos;komedia akcji;fabuła gangsterska;intrygi;rozgrywki uliczne;pojedynek charakterów,0,0
Prey,Thomas Sieben,2021,Film międzynarodowy;Thriller;Dreszczowiec psychologiczny,David Kross;Hanno Koffler;Maria Ehrich;Robert Finster;Yung Ngo;Klaus Steinbacher;Livia Matthes;Nellie Thalbach;Niemcy;las;przetrwanie;polowanie;ucieczka;nieznany napastnik;trudne decyzje;przyjaźń wystawiona na próbę;napinająca atmosfera;groza;prześladowca;strzały;samotność;dezorientacja;ofiary;zagubienie;walka o życie;niepewność;konflikt;rozpacz;dzika przyroda;napastnik snajper;psychologiczna gra;strach;paranoja,0,0
Blood Brothers: Malcolm X i Muhammad Ali,Marcus Clarke,2021,Film dokumentalny;Film sportowy;Historia,Malcolm X;Muhammad Ali;Czarna historia USA;lata 60.;prawa obywatelskie;walka o równość;Islam;Naród Islamu;boks;Mistrz świata wagi ciężkiej;Aktywizm;przyjaźń;rozłam;konflikt ideologiczny;Martin Luther King Jr.;historia Ameryki;czarna społeczność;religia;sprawiedliwość społeczna;polityka;segregacja;dyskryminacja rasowa;przemówienia;ikoniczne postacie;legendy sportu;inspiracja;liderzy;przełomowe wydarzenia;walka z systemem;kontrowersje;światowy sport,0,0
Paradise Hills,Alice Waddington,2019,Sci-Fi i fantasy;Thriller;Dramat,Emma Roberts;Danielle Macdonald;Awkwafina;Eiza González;Milla Jovovich;Jeremy Irvine;Arnaud Valois;Daniel Horvath;wyspa;tajemniczy ośrodek;resocjalizacja;utopia;kontrola umysłu;manipulacja;perfekcyjny świat;piękno;eksperyment;rebelianci;ucieczka;tajemnice;tożsamość;dystopia;klasa społeczna;opieka pozorna;iluzja;futurystyczna technologia;instytucja zamknięta;psychologiczny thriller;przemiana bohatera;konflikt klasowy;estetyka fantasy;reżim;intryga,0,0
The Women and the Murderer,Mona Achache;Patricia Tourancheau,2021,Film dokumentalny;Film międzynarodowy;Kryminalny,true crime;Francja;seryjny morderca;śledztwo;policja;kobiety;ofiary;sprawa kryminalna;proces sądowy;dziennikarstwo;reportaż;przestępstwo;sprawa sądowa;dowody;poszukiwania;analiza kryminalna;detektyw;ofiary kobiet;zabójstwo;psychologia przestępcy;profilowanie;świadkowie;media;relacja sprawca-ofiara;motywacje;rekonstrukcja wydarzeń;wyrok;sensacyjny dokument;rekonstrukcje;francuski system sądownictwa;dramat sądowy,0,0
JJ+E,Alexis Almström,2021,Dramat;Film międzynarodowy;Romans,Elsa Öhrn;Mustapha Aarab;Jonay Pineda Skallak;Magnus Krepper;Loreen;Albin Grenholm;Simon Mezher;Elsa Bergström Terent;Josef Kadim;Yohannes Frezgi;Szwecja;miłość;nastolatki;różnice kulturowe;Sztokholm;klasy społeczne;trudna miłość;szkoła;rodzina;konflikt;przyjaźń;zdrada;imigranci;tożsamość;życie na przedmieściach;muzyka;marzenia;nadzieja;uczucia;społeczny dramat;walka o akceptację;konflikt pokoleń;podziały społeczne;przeznaczenie;historia miłosna,0,0
Show Dogs,Raja Gosnell,2018,Film dla dzieci i rodziny;Komedia,Will Arnett;Ludacris;Natasha Lyonne;Stanley Tucci;Jordin Sparks;Gabriel Iglesias;Shaquille O'Neal;Omar Chaparro;Alan Cumming;Andy Beckwith;Delia Sheppard;Kerry Shale;pies policyjny;komedia familijna;tajna misja;wystawa psów;przestępczość zorganizowana;humor;przygoda;akcja;partnerzy z przypadku;śledztwo;policyjny duet;pies i człowiek;złoczyńcy;zaginione zwierzęta;przebrania;pod przykrywką;rodzinna rozrywka;zwierzęcy bohaterowie;wielka przygoda;film familijny;ratowanie przyjaciół;akcja komediowa,0,0
If I Leave Here Tomorrow: Film o Lynyrd Skynyrd,Stephen Kijak,2018,Film dokumentalny;Muzyka i musicale,Ronnie Van Zandt;Gary Rossington;Allen Collins;Leon Wilkeson;Bob Burns;Billy Powell;Ed King;Artimus Pyle;Steve Gaines;Johnny Van Zant;Lynyrd Skynyrd;rock południowy;historia zespołu;muzyka lat 70.;koncerty;trasa koncertowa;piosenki;legendy rocka;wypadek lotniczy;tragiczna historia;kulisy;nagrania archiwalne;wywiady;inspiracja;scena muzyczna;USA;rock and roll;gitara elektryczna;muzyczne biografie;pasja do muzyki;twórczość zespołu,0,0
Untold: Punkt krytyczny,Chapman Way;Maclain Way,2021,Film dokumentalny;Film sportowy,tenis;psychologia sportu;presja;zawodnik;stres;kariera;wypalenie;kontuzje;powrót do gry;rywalizacja;determinacja;trening;wywiady;kulisy sportu;przełamanie;motywacja;walka o tytuł;historia prawdziwa;analiza mentalna;konflikty;rodzina;trener;relacje zawodowe;poświęcenie;odpowiedzialność;dyscyplina sportowa;wspomnienia;rozterki;życie sportowca;moment przełomu,0,0
Shadow Parties,Yemi Amodu,2020,Dramat;Film międzynarodowy;Thriller,Jide Kosoko;Omotola Jalade-Ekeinde;Yemi Blaq;Sola Sobowale;Ken Erics;Toyin Aimakhu;Segun Arinze;Jibola Dabo;Rotimi Salami;Pa Jimi Solanke;Rachael Okonkwo;Bassey Okon;Lucien Morgan;Magdalena Korpas;Nigeria;wojna plemienna;konflikt rodzinny;przemoc;polityka;spisek;walka o władzę;zdrada;lojalność;ofiary cywilne;tragedia;przemoc domowa;wojownicy;sojusze;społeczny dramat;bezpieczeństwo;władza;walka o przetrwanie;konflikt społeczny,0,0
Angamaly Diaries,Lijo Jose Pellissery,2017,Akcja i przygoda;Komedia;Dramat,Antony Varghese;Reshma Rajan;Binny Rinky Benjamin;Vineeth Vishwam;Kichu Tellus;Sreekanth Dasan;Sarath Kumar;Tito Wilson;Anandhu;Bitto Davis;Sinoj Varghese;Indie;miasteczko;gangi;humor;akcja;konflikty;jedzenie uliczne;kurczak;lokalna społeczność;realistyczny styl;film akcji;życie codzienne;walka o wpływy;romans;zdrada;lojalność;pościgi;bijatyki;muzyka folkowa;chaos;barwne postacie;przyjaźń,0,0
A Champion Heart,David de Vos,2018,Film dla dzieci i rodziny;Dramat,Mandy Grace;David de Vos;Donna Rusch;Devan Key;Isabella Mancuso;Ariana Guido;koń;rancho;przyjaźń;strata;nadzieja;uzdrowienie;rodzina;nowe początki;relacja człowiek-zwierzę;wiara;pomoc;odwaga;dzieci;odbudowa życia;emocje;wieś;trening koni;opieka nad zwierzętami;przełamanie lęku;przygoda;uczenie się zaufania;pokonywanie przeszkód;wzruszenie;przygoda na wsi;miłość do zwierząt,0,0
Worth,Sara Colangelo,2021,Dramat,Michael Keaton;Stanley Tucci;Amy Ryan;Shunori Ramanathan;Ato Blankson-Wood;Tate Donovan;Laura Benanti;Chris Tardio;World Trade Center;11 września;odszkodowania;sprawiedliwość;adwokat;konflikt moralny;katastrofa;ofiary;rodziny ofiar;biurokracja;polityka;emocje;decyzje;empatia;wartość życia;dramat prawniczy;spór;presja;dylemat;negocjacje;walka o równość;historia prawdziwa;USA,0,0
Afterlife of the Party,Stephen Herek,2021,Komedia;Romans,Victoria Justice;Midori Francis;Robyn Scott;Adam Garcia;Timothy Renouf;Gloria Garcia;Myfanwy Waring;Spencer Sutherland;przyjaźń;śmierć;życie po życiu;druga szansa;naprawianie błędów;romans;humor;rodzina;imprezy;radość życia;przeznaczenie;pojednanie;lekka komedia;los;anioł stróż;emocje;wzruszenie;przyjaźń po śmierci;dobre uczynki;powrót na ziemię;fantastyka,0,0
Anjaam,Rahul Rawail,1994,Dramat;Film międzynarodowy;Thriller,Madhuri Dixit;Shah Rukh Khan;Tinnu Anand;Johny Lever;Kalpana Iyer;Himani Shivpuri;Sudha Chandran;Beena;Kiran Kumar;Indie;obsesja;zemsta;romans;zdrada;kara;przemoc;tragedia;emocje;spisek;porwanie;manipulacja;konflikt;miłość i nienawiść;dramat psychologiczny;konfrontacja;silne emocje;poświęcenie;tragiczny finał;intensywna relacja,0,0
Bright Star,Jane Campion,2009,Dramat;Romans,Abbie Cornish;Ben Whishaw;Paul Schneider;Kerry Fox;Edie Martin;Thomas Brodie-Sangster;Claudie Blakley;Gerard Monaco;Antonia Campbell-Hughes;Samuel Roukin;John Keats;romantyzm;poezja;miłość;XIX wiek;Anglia;tragedia;choroba;listy miłosne;historia prawdziwa;poeta;malarstwo słowem;inspiracja;przyroda;uczucie;artystyczna dusza;strata;marzenia;życie artysty,0,0
Dhanak,Nagesh Kukunoor,2015,Komedia;Dramat;Film niezależny,Krrish Chhabria;Hetal Gada;Vipin Sharma;Gulfam Khan;Suresh Menon;Vijay Maurya;Rajiv Lakshman;Ninad Kamat;Indie;rodzeństwo;podróż;marzenie;spotkanie z idolem;Shah Rukh Khan;przygoda;nadzieja;dzieci;wędrówka;piękno natury;kolorowa sceneria;familijny;przyjaźń;dobroć;pomoc nieznajomych;odwaga;determinacja;opowieść drogi;radość życia,0,0
Final Account,Luke Holland,2020,Film dokumentalny;Historia,II wojna światowa;Niemcy;nazizm;świadkowie historii;zbrodnie wojenne;Holokaust;wspomnienia;wywiady;ocalałe osoby;wojna;propaganda;ideologia;zbrodnie przeciwko ludzkości;refleksja;edukacja historyczna;analiza przeszłości;zrozumienie historii;rozliczenie;wina i odpowiedzialność;Europa;okupacja;armia niemiecka;SS;świadectwa;pokolenia;skutki wojny;historia mówiona;film edukacyjny;dokument historyczny,0,0
Jadąc z dziećmi,Chris Addison,2015,Komedia;Film dla dzieci i rodziny;Dramat,Rosamund Pike;David Tennant;Billy Connolly;Ben Miller;Amelia Bullmore;Annette Crosbie;Celia Imrie;Emilia Jones;Bobby Smalldridge;Harriet Turnbull;rodzina;wycieczka;wakacje;Szkocja;konflikt rodzinny;sekrety;humor;dzieci;przygoda;urodziny;choroba;relacje rodzinne;rodzinna tajemnica;rodzinna komedia;podróż samochodem;rodzinne perypetie;wakacyjny klimat;film obyczajowy;pojednanie,0,0
The Magic of Heineken,François Verster,2014,Film dokumentalny;Historia;Kultura,Heineken;piwo;historia firmy;Holandia;piwowarstwo;tradycja;marketing;reklama;marka globalna;rodzina Heinekenów;innowacje;rozwój firmy;eksport;piwowarskie receptury;biznes;przemysł spożywczy;branding;ikona kultury;światowy rynek;tradycyjne warzenie;dziedzictwo;historia sukcesu;ekspansja;logo;zielona butelka;dziedzictwo kulturowe,0,0
The Hundred-Foot Journey,Lasse Hallström,2014,Komedia;Dramat;Romans,Helen Mirren;Om Puri;Manish Dayal;Charlotte Le Bon;Amit Shah;Farzana Dua Elahe;Vincent Elbaz;Michel Blanc;Francja;Indie;kuchnia;restauracja;konkurencja;miłość;rodzina;tradycja;gotowanie;kulinarna rywalizacja;przeprowadzka;małe miasteczko;adaptacja;przyjaźń;przemiana;pasja;kulinarna przygoda;smaki świata;kultura;muzyka;piękne krajobrazy,0,0
Five Feet Apart,Justin Baldoni,2019,Dramat;Romans,Cole Sprouse;Haley Lu Richardson;Moises Arias;Kimberly Hebert Gregory;Parminder Nagra;Claire Forlani;choroba;miłość;zakazany kontakt;szpital;nastolatki;relacja;przyjaźń;rodzina;życie i śmierć;ryzyko;emocje;nadzieja;tragedia;wzruszenie;przeszkody;walka z chorobą;poświęcenie;romantyzm;choroba płuc;miłość wbrew przeciwnościom;dystans;życie codzienne pacjentów,0,0
Gaga: Five Foot Two,Chris Moukarbel,2017,Film dokumentalny;Muzyka i musicale,Lady Gaga;Stefani Germanotta;muzyka pop;trasa koncertowa;przygotowania;Super Bowl;życie prywatne;kariera;tworzenie albumu;emocje;choroba;fibromialgia;rodzina;przyjaźń;studio nagraniowe;wywiady;fanbase;scena muzyczna;piosenki;próby;kostiumy;występy;proces twórczy;praca artystyczna;inspiracje;światowa sława;kulisy koncertów;muzyczna szczerość,0,0
100 Things,Florian David Fitz,2018,Komedia;Romans,Florian David Fitz;Matthias Schweighöfer;Miriam Stein;Hannelore Elsner;Wolfgang Stumph;Katharina Thalbach;Niemcy;zakład;minimalizm;przyjaźń;miłość;życie bez rzeczy;eksperyment;przemiana;komedia romantyczna;rywalizacja;wartości;nowe doświadczenia;relacje międzyludzkie;wyzwania;materializm;prosta codzienność;życiowa lekcja;śmieszne sytuacje;rozterki,0,0
Chappie,Neill Blomkamp,2015,Akcja i przygoda;Sci-Fi;Thriller,Sharlto Copley;Dev Patel;Hugh Jackman;Sigourney Weaver;Jose Pablo Cantillo;Brandon Auret;Watkin Tudor Jones;Yolandi Visser;RoboCop;Johannesburg;robot;AI;sztuczna inteligencja;gangi;przestępczość;eksperyment;człowieczeństwo;technologia;policja;walka o przetrwanie;film akcji;przyszłość;konflikt moralny;emocje;rodzina;przyjaźń;lojalność;rewolucja technologiczna;etyka;niebezpieczeństwo;walka o wolność,0,0
Suma wszystkich strachów,Phillip Noyce,1994,Akcja i przygoda;Dramat,Harrison Ford;Willem Dafoe;Anne Archer;Joaquim de Almeida;Henry Czerny;Harris Yulin;Donald Moffat;Miguel Sandoval;Benjamin Bratt;Dean Jones;Thora Birch;James Earl Jones;Raymond Cruz;CIA;kolumbia;kartele narkotykowe;terroryzm;operacje specjalne;Biały Dom;prezydent USA;konflikt polityczny;tajne misje;agent;polityka międzynarodowa;bezpieczeństwo narodowe;spisek;wojna z narkotykami;szpiegostwo;pościg;intryga;walka z czasem,0,0
