title,director,cast,release_year,listed_in
Hidden in Plain Sight,Stacia Crawford,"Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher",2019,"Dramas, Independent Movies, Thrillers"
His House,Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",2020,"Horror Movies, Independent Movies"
In Line,Tope Oshin,"Chris Attoh, Adesua Etomi, Uzor Arukwe, Sika Osei, Leonora Okien, Shawn Faqua, Tina Mba",2017,"Dramas, International Movies"
Kaali Khuhi,Terrie Samundra,"Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod",2020,"Horror Movies, International Movies"
Rogue City,Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal",2020,"Dramas, International Movies, Thrillers"
The Day of the Lord,Santiago Alvarado Ilarri,"Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia",2020,"Horror Movies, International Movies"
Pagpag: Nine Lives,Frasco Mortiz,"Daniel Padilla, Kathryn Bernardo, Shaina Magdayao, Paulo Avelino, Matet De Leon, Janus del Prado, Miles Ocampo, Clarence Delgado, CJ Navato, Michelle Vito",2013,"Horror Movies, International Movies"
Holidate,John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal",2020,"Comedies, Romantic Movies"
La Gran Ilusión,Antonio Díaz,Antonio Díaz,2016,International Movies
Metallica Through The Never,Nimród Antal,"Dane DeHaan, James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo",2013,Music & Musicals
Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,"Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski",2020,"Horror Movies, International Movies"
Secrets of the Saqqara Tomb,James Tovell,,2020,Documentaries
Guillermo Vilas: Settling the Score,Matías Gueilburt,,2020,"Documentaries, International Movies, Sports Movies"
Sarah Cooper: Everything's Fine,Natasha Lyonne,"Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane",2020,Comedies
Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Govind Namdeo, Darshan Jariwala, Zakir Hussain, Smita Jaykar, Navneet Nishan, Dolly Bindra, Upen Patel",2009,"Comedies, International Movies, Music & Musicals"
Black '47,Lance Daly,"Hugo Weaving, James Frecheville, Stephen Rea, Freddie Fox, Barry Keoghan, Moe Dunford, Sarah Greene, Jim Broadbent",2018,"Action & Adventure, Dramas, Independent Movies"
I Am Woman,Unjoo Moon,"Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg",2019,"Dramas, Music & Musicals"
Alice Junior,Gil Baroni,"Anne Celestino Mota, Emmanuel Rosset, Matheus Moura, Surya Amitrano, Thaís Schier, Cida Rolim, Katia Horn, Igor Augustho, Marcel Szymanski",2019,"Comedies, International Movies, LGBTQ Movies"
Over the Moon,Glen Keane,"Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora",2020,"Children & Family Movies, Music & Musicals"
Shattered Memories,Chris Sivertson,"Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas, Phillip Boyd, Victoria Barabas, Mark Famiglietti, Walker Borba, Meg DeLacy",2018,"Dramas, Thrillers"
Bending the Arc,"Kief Davidson, Pedro Kos",,2017,Documentaries
Cadaver,Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez",2020,"Horror Movies, International Movies"
Exes Baggage,Dan Villegas,"Angelica Panganiban, Carlo Aquino, Dionne Monsanto",2018,"Dramas, International Movies, Romantic Movies"
Fisherman's Friends,Chris Foggin,"Daniel Mays, James Purefoy, David Hayman, Dave Johns, Sam Swainsbury, Tuppence Middleton, Noel Clarke, Maggie Steed, Vahid Gold, Christian Brassington",2019,"Comedies, Dramas, Music & Musicals"
The Hows of Us,Cathy Garcia-Molina,"Kathryn Bernardo, Daniel Padilla, Darren Espanto, Jean Garcia, Susan Africa, Ria Atayde, Kit Thompson, Odette Khan, Alwyn Uytingco, Juan Miguel Severo",2018,"Dramas, International Movies, Romantic Movies"
The Hummingbird Project,Kim Nguyen,"Jesse Eisenberg, Alexander Skarsgård, Salma Hayek, Michael Mando, Sarah Goldberg, Anna Maguire, Frank Schorpion, Johan Heldenbergh, Kwasi Songui, Ayisha Issa",2018,"Dramas, Independent Movies"
"Yes, God, Yes",Karen Maine,"Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale, Susan Blackwell, Alisha Boe, Donna Lynne Champlin, Parker Wierling",2020,"Comedies, Dramas, Independent Movies"
Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,"Liam Neeson, Matt Damon, Jaden Smith",2020,"Documentaries, International Movies"
Rebecca,Ben Wheatley,"Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson",2020,"Dramas, Romantic Movies, Thrillers"
The Magic School Bus Rides Again The Frizz Connection,Richard Weston,"Kate McKinnon, Roman Lutterotti, Mikaela Blake, Gabby Clarke, Leke Maceda-Rustecki, Matthew Mucci, Birva Pandya, Lynsey Pham, Kaden Stephen",2020,Children & Family Movies
Tremors: Shrieker Island,Don Michael Paul,"Michael Gross, Jon Heder, Caroline Langrishe, Cassie Clare, Matthew Douglas, Sahajak Boonthanakit, David Asavanond, Jackie Cruz, Richard Brake",2020,"Action & Adventure, Horror Movies"
Beirut Oh Beirut,Maroun Baghdadi,"Ezzat El Alaily, Mireille Maalouf, Joseph Bou Nassar, Elie Adabachi, Philippe Akiki, Ahmed Al Zein",1975,"Classic Movies, Dramas, International Movies"
Bosta,Philippe Aractingi,"Rodney El Haddad, Nadine Labaky, Nada Abou Farhat, Liliane Nemri, Omar Rajeh, Mounir Malaeb, Bshara Atallah, Rana Alamuddin, Joelle Rizk, Mahfouz Barakat, Mahmoud Mabsout, Bader Haddad, Youssef Emalhoub",2005,"Dramas, International Movies, Music & Musicals"
Ghadi,Amin Dora,"Georges Khabbaz, Lara Rain, Emmanuel Khairallah, Samir Youssef, Camille Salameh, Rodrigue Sleiman, Caroline Labaki, Giselle Boueiz, Christine Choueiri",2013,"Comedies, Dramas, International Movies"
Heritages,Philippe Aractingi,"Philippe Aractingi, Diane Aractingi",2014,"Documentaries, International Movies"
Listen,Philippe Aractingi,"Hadi Bou Ayash, Ruba Zarour, Yara Bou Nassar, Rafik Ali Ahmad, Joseph Bou Nassar, Lama Lawand",2017,"Dramas, Independent Movies, International Movies"
Out of Life,Maroun Baghdadi,"Hippolyte Girardot, Rafik Ali Ahmad, Hussein Sbeity, Habib Hammoud, Majdi Machmouchi, Hassan Farhat, Hassan Zbib, Nabila Zeitouni, Hamza Nasrallah, Sami Hawat, Sabrina Leurquin, Roger Assaf, Nidal El Askhar",1991,"Classic Movies, Dramas, Independent Movies"
Panoptic,Rana Eid,Rana Eid,2017,"Documentaries, International Movies"
Taxi Ballad,Daniel Joseph,"Talal El-Jordi, Karina Logue, Badih Abou Chakra, Tariq Tamim, Omar Mikati, Hiam Abou Chedid, Mahmoud Mabsout, Aida Sabra",2012,"Dramas, International Movies"
The Kite,Randa Chahal Sabbag,"Flavia Bechara, Maher Bsaibes, Randa Asmar, Renée Dick, Julia Kassar, Liliane Nemri, Ziad Rahbani, Nayef Naji, Edmond Haddad, Alia Nemry",2003,"Dramas, International Movies, Romantic Movies"
The Little Wars,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay",1982,"Dramas, Independent Movies, International Movies"
Under the Bombs,Philippe Aractingi,"Nada Abou Farhat, Georges Khabbaz, Bshara Atallah, Rawia Elchab, Elham Abbas, Iman Affara, Zahra Ali, Ali Maerouf Amer, Ali Azour, Najat Darwish",2007,"Dramas, Independent Movies, International Movies"
West Beirut,Ziad Doueiri,"Rami Doueiri, Mohamad Chamas, Rola Al Amin, Carmen Lebbos, Joseph Bou Nassar, Liliane Nemri",1999,"Dramas, International Movies"
What Did I Mess,Shady Hanna,"Rola Beksmati, Junaid Zeineldine, Abboudy Mallah, Tanya Nasr, Matteo El Khodr, Rita El Khoury, Tony Benn",2018,"Comedies, International Movies, Romantic Movies"
Whispers,Maroun Baghdadi,"Nadia Tueni, Ziad Rahbani",1980,"Documentaries, International Movies"
Zozo,Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos, Viktor Axelsson, Charbel Iskandar, Yasmine Awad",2005,"Dramas, International Movies"
ParaNorman,"Sam Fell, Chris Butler","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, Elaine Stritch, Bernard Hill, Jodelle Ferland, Tempestt Bledsoe, Alex Borstein, John Goodman",2012,"Children & Family Movies, Comedies"
I Am Vengeance: Retaliation,Ross Boyask,"Stu Bennett, Vinnie Jones, Mark Griffin, Katrina Durden, Phoebe Robinson-Galvin, Sam Benjamin, David Schaal, Jessica-Jane Stafford, Bentley Kalu, Jean-Paul Ly",2020,Action & Adventure
Disconnect,"David 'Tosh' Gitonga, Michael Jones","Brenda Wairimu, Nick Mutuma, Catherine Kamau, Pascal Tokodi, Patricia Kihoro, Pierra Makena, Bridget Shighadi, Brian Ogola, Illya Frank, Aseem Sharma, Arthur Sanya, Justin Mirichii, Maqbul Mohammed",2018,"Comedies, International Movies, Romantic Movies"
In a Valley of Violence,Ti West,"Ethan Hawke, John Travolta, Taissa Farmiga, James Ransone, Karen Gillan, Toby Huss, Tommy Nohilly, Larry Fessenden, Michael Davis, Burn Gorman",2016,Action & Adventure
The Trial of the Chicago 7,Aaron Sorkin,"Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Alex Sharp, John Doman, Ben Shenkman",2020,Dramas
Unfriended,Levan Gabriadze,"Shelley Hennig, Moses Storm, Renee Olstead, Will Peltz, Jacob Wysocki, Courtney Halverson, Heather Sossaman, Matthew Bohrer, Mickey River, Cal Barnes",2014,"Horror Movies, Thrillers"
A Babysitter's Guide to Monster Hunting,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",2020,Children & Family Movies
Batman: The Killing Joke,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North",2016,Action & Adventure
El-Khawaga's Dilemma,Peter Mimi,"Hassan El Raddad, Mohamed Lotfy, Hana El Zahed, Hassan Hosny, Majed El Masry, Mohamed Ezz, Samia Trabelsi, Yasser Al Zankalouni, Ahmed El Sobky, Bayoumi Fouad",2018,"Action & Adventure, Comedies, International Movies"
Kartini: Princess of Java,Hanung Bramantyo,"Dian Sastrowardoyo, Ayushita, Acha Septriasa, Deddy Sutomo, Christine Hakim, Djenar Maesa Ayu, Denny Sumargo, Adinia Wirasti, Reza Rahadian",2017,"Dramas, International Movies"
Love Like the Falling Rain,Lasja Fauzia Susatyo,"Jefri Nichol, Aurora Ribero, Axel Matthew, Nadya Arina, Karina Suwandhi, Rebecca Klopper",2020,"Dramas, International Movies, Romantic Movies"
Rooting for Roona,"Pavitra Chalam, Akshay Shankar",,2020,"Documentaries, International Movies"
A Choo,"Kevin Ko, Peter Tsi","Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui",2020,"Action & Adventure, International Movies, Romantic Movies"
BLACKPINK: Light Up the Sky,Caroline Suh,Blackpink,2020,"Documentaries, Music & Musicals"
The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,,2020,"Documentaries, International Movies"
Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",2004,"International Movies, Romantic Movies, Thrillers"
Octonauts & the Great Barrier Reef,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham",2020,Children & Family Movies
Dil,Indra Kumar,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",1990,"Comedies, Dramas, International Movies"
Disco Dancer,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1982,"Cult Movies, Dramas, International Movies"
Hunterrr,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar, Veera Saxena, Sagar Deshmukh",2015,"Comedies, International Movies, Romantic Movies"
Phir Hera Pheri,Neeraj Vora,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Bipasha Basu, Rimi Sen, Johny Lever, Manoj Joshi, Rajpal Yadav, Sharat Saxena, Suresh Menon",2006,"Comedies, International Movies"
The Legend of Bhagat Singh,Rajkumar Santoshi,"Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari",2002,"Dramas, International Movies"
House of the Witch,Alex Merkin,"Emily Bader, Darren Mann, Michelle Randolph, Coy Stewart, Jesse Pepe, Arden Belle, Joel Nagle, Nolan Bateman",2017,Horror Movies
Ginny Weds Sunny,Puneet Khanna,"Yami Gautam, Vikrant Massey, Suhail Nayyar, Ayesha Raza Mishra, Isha Talwar, Rajeev Gupta",2020,"Comedies, International Movies, Romantic Movies"
My Step Dad: The Hippie,Meltem Bozoflu,"Onur Buldu, Mahir İpek, Derya Karadaş, Onur Attila, Meltem Yılmazkaya, Yasemin Conka, Burak Topaloglu, Sefik Taylan, Orkun Karagöz, Erdogan Aydin",2018,"Comedies, International Movies"
Super Monsters: Dia de los Monsters,,,2020,Children & Family Movies
The Forty-Year-Old Version,Radha Blank,"Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis, Haskiri Velazquez, Antonio Ortiz, T.J. Atoms, Reed Birney",2020,"Comedies, Dramas, Independent Movies"
Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",Bigflo & Oli,2020,"Documentaries, International Movies, Music & Musicals"
Palermo Hollywood,Eduardo Pinto,"Brian Maya, Matías Desiderio, Manuela Pal, Azul Lombardía",2004,"Dramas, International Movies"
Hubie Halloween,Steve Brill,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",2020,"Comedies, Horror Movies"
American Pie 9: Girls' Rules,Mike Elliott,"Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Sara Rue, Zachary Gordon, Camaron Engels, Christian Valderrama, Zayne Emory",2020,Comedies
Dolly Parton: Here I Am,Francis Whately,Dolly Parton,2019,"Documentaries, Music & Musicals"
StarBeam: Halloween Hero,Jon Izen,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Laara Sadiq",2020,Children & Family Movies
Walk Away from Love,Christopher Nolen,"Noree Victoria, Brad James, Robert Christopher Riley, Brely Evans, Sabrina Revelle",2017,"Dramas, Romantic Movies"
David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",David Attenborough,2020,Documentaries
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,"Daniel Levy, Eugene Levy, Catherine O'Hara, Annie Murphy, Chris Elliott, Emily Hampshire, Sarah Levy, Jennifer Robertson, Noah Reid, Dustin Milligan, Karen Robinson, Rizwan Manji",2020,"Documentaries, LGBTQ Movies"
Good Game: The Beginning,Umut Aral,"Mert Yazıcıoğlu, Afra Saraçoğlu, Yiğit Kirazcı, Orkun Işıtmak, Bahar Şahin, Tolga Canbeyli, Bada Oh Deniz, Hakan Kurtaş, Doğaç Yildiz",2018,"Dramas, International Movies, Sports Movies"
A Chaster Marriage,Umut Kirca,"Emre Karayel, Ceren Moray, Begüm Kütük, Ececan Gümeci, Ümit Erdim, Cem Kiliç, Haldun Boysan, Ferdi Akarnur, Mine Teber, Güneş Hayat",2016,"Comedies, International Movies, Romantic Movies"
A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore","Alan C. Lim, Smith Foreman, Maisie Benson, Ann Kendrick, Kerry Gudjohnsen, Paul Killam, Stanley Moore, Tyler Hendrix, Ella Joy Ballesteros, Jimmy Olea",2020,Children & Family Movies
Òlòtūré,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",2020,"Dramas, International Movies"
Serious Men,Sudhir Mishra,"Nawazuddin Siddiqui, Nasser, Aakshath Das, Indira Tiwari, Sanjay Narvekar, Shweta Basu Prasad",2020,"Comedies, Dramas, International Movies"
The Binding,Domenico de Feudis,"Riccardo Scamarcio, Mía Maestro",2020,"Horror Movies, International Movies, Thrillers"
Turkish Dance School,Burak Aksak,"Binnur Kaya, Demet Özdemir, Uraz Kaygılaroğlu, Okan Çabalar, Bora Cengiz, Nergis Öztürk, Berat Yenilmez, Meltem Gülenç, Hakan Salınmış",2017,"Comedies, International Movies, Romantic Movies"
Vampires vs. the Bronx,Oz Rodriguez,"Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Method Man, Shea Whigham, Coco Jones, The Kid Mero, Chris Redd, Vladimir Caamaño, Jeremie Harris, Adam David Thompson, Zoe Saldana",2020,"Comedies, Horror Movies"
You've Got This,Salvador Espinosa,"Mauricio Ochmann, Esmeralda Pimentel, Matteo Giannini, Regina Reynoso, Juan Martín Jauregui, Tato Alexander, Verónica Bravo, Fernando Becerril, Moisés Arizmendi, Tiaré Scanda, Mariana Cabrera, Montserrat Marañón, Verónica Langer",2020,"Comedies, International Movies, Romantic Movies"
All Because of You,Adrian Teh,"Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling",2020,"Action & Adventure, Comedies, International Movies"
An Ordinary Man,Brad Silberling,"Ben Kingsley, Hera Hilmar, Peter Serafinowicz",2017,"Dramas, Thrillers"
Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya","Edward James Olmos, Zach De La Rocha",2019,"Documentaries, LGBTQ Movies"
Cold Harbour,Carey McKenzie,"Tony Kgoroge, Yu Nan, Thomas Gumede, Deon Lotz, Fana Mokoena, Zolani Mahola, Kenneth Fok, Nicole Bessick",2013,"Action & Adventure, Dramas, International Movies"
Free State of Jones,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell, Christopher Berry, Sean Bridgers, Jacob Lofland, Thomas Francis Murphy, Bill Tangradi",2016,"Action & Adventure, Dramas"
Human Nature,Adam Bolt,,2019,Documentaries
Hunt for the Wilderpeople,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",2016,"Action & Adventure, Comedies, Dramas"
I'm Leaving Now,"Lindsey Cordero, Armando Croda",,2019,"Documentaries, International Movies"
Rize,David LaChapelle,"Tommy the Clown, Tight Eyez",2005,"Documentaries, Music & Musicals"
The American Game,Mostafa Abu Seif,"Nahed El Sebaï, Ahmed Fahmi, Shaima Saif, Bayoumi Fouad, Entsar",2019,"Comedies, International Movies, Romantic Movies"
The Book of Sun,Faris Godus,"Baraa Alem, Ismail Alhassan, Ahmed Saddam, Sohayb Godus, Nawaf Alshubaili, Eyad Ayman Kaifi",2020,"Comedies, Independent Movies, International Movies"
The Outpost,Rod Lurie,"Scott Eastwood, Caleb Landry Jones, Orlando Bloom, Jack Kesy, Cory Hardrict, Milo Gibson, Jacob Scipio, Taylor John Smith, Jonathan Yunger, Alexander Arnold",2020,"Action & Adventure, Dramas"
We Have Always Lived in the Castle,Stacie Passon,"Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan, Paula Malcomson, Peter Coonan, Ian Toner, Joanne Crawford",2018,"Dramas, Thrillers"
American Murder: The Family Next Door,Jenny Popplewell,,2020,Documentaries
Baxu and the Giants,Florian Schott,"Camilla Jo-Ann Daries, Wafeeq Narimab, Anna Louw, Steven Afrikaner, Ashwyn Mberi, Robert Hara Gaeb",2019,"Dramas, International Movies"
Poacher,Tom Whitworth,"Brian Ogola, Davina Leonard, Shiviske Shivisi, Lenny Juma, Olwenya Maina, Peter King, Alfred Munyua, Mwajuma Belle",2018,"Dramas, International Movies, Thrillers"
The Boys in the Band,Joe Mantello,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",2020,"Dramas, LGBTQ Movies"
The Boys in the Band: Something Personal,,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins, Joe Mantello, Ned Martel, Mart Crowley",2020,"Documentaries, LGBTQ Movies"
Bully,Lee Hirsch,,2012,Documentaries
Michelle Buteau: Welcome to Buteaupia,Page Hurwitz,Michelle Buteau,2020,Stand-Up Comedy
Welcome to Sudden Death,Dallas Jackson,"Michael Jai White, Michael Eklund, Sabryn Rock, Nakai Takawira, Lyric Justice, Sagine Semajuste, Gary Owen, Anthony Grant, Kristen Harris, BJ Verot, Sean Skene, Marrese Crump, Stephanie Sy, Jeff Strome, Adam Hurtig, Gillian White, Anthony J. Mifsud",2020,Action & Adventure
Amandla! A Revolution in Four Part Harmony,Lee Hirsch,"Miriam Makeba, Hugh Masekela, Abdullah Ibrahim, Duma Ka Ndlovu, Sibongile Khumalo, Vusi Mahlasela, Thandi Modise, Sifiso Ntuli, Sibusiso Nxumalo, Dolly Rathebe, Lindiwe Zulu",2002,"Documentaries, International Movies, Music & Musicals"
Ankhon Dekhi,Rajat Kapoor,"Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur, Maya Sarao, Chandrachoor Rai, Namit Das, Brijendra Kala, Alka Chawla, Manu Rishi Chadha",2013,"Dramas, Independent Movies, International Movies"
Dedh Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Madhuri Dixit, Arshad Warsi, Huma Qureshi, Vijay Raaz, Manoj Pahwa, Salman Shahid",2014,"Comedies, Dramas, International Movies"
